format=1 tracks=3 division=192

BA    1   CR         0   TR  0   CH 16   Text type 3: "Super Mario Land Pipe Underground Theme"
BA    1   CR         0   TR  0   CH 16   Text type 1: "By Jeff Daily"
BA    1   CR         0   TR  0   CH 16   Text type 2: "Copyright © 1998 by NoteWorthy ArtWare, Inc."
BA    1   CR         0   TR  0   CH 16   Text type 2: "All Rights Reserved"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Generated by NoteWorthy Composer"
BA    1   CR         0   TR  0   CH 16   Tempo 155.0005
BA    1   CR         0   TR  0   CH 16   Tempo 155.0005
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  1   CH 16   Text type 3: "Staff-1"
BA    1   CR         0   TR  1   CH 10   Channel volume 127
BA    1   CR         0   TR  1   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  1   CH 10   NT  F#--          1/6   von=110
BA    1   CR         0   TR  2   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  2   CH 16   Text type 3: "Staff-2"
BA    1   CR         0   TR  2   CH 11   Instrument 34
BA    1   CR         0   TR  2   CH 11   Channel volume 127
BA    1   CR         0   TR  2   CH 11   ST &BA &0A &40
BA    1   CR         0   TR  2   CH 11   NT  C-            5/6   von=110
BA    1   CR         1   TR  2   CH 11   NT  E-          47/96
BA    1   CR     1+1/2   TR  1   CH 10   NT  F#--          1/6
BA    1   CR     1+1/2   TR  2   CH 11   NT  G--         47/96
BA    1   CR         2   TR  2   CH 11   NT  A--         47/96
BA    1   CR     2+1/2   TR  1   CH 10   NT  F#--          1/6
BA    1   CR     2+1/2   TR  2   CH 11   NT  B--         47/96
BA    1   CR         3   TR  1   CH 10   NT  F#--          1/6
BA    1   CR         3   TR  2   CH 11   NT  C-            5/6

BA    2   CR         0   TR  1   CH 10   NT  Bb--          1/6
BA    2   CR         0   TR  2   CH 11   NT  G-          47/96
BA    2   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA    2   CR       1/2   TR  2   CH 11   NT  E-            5/6
BA    2   CR         2   TR  1   CH 10   NT  F#--          1/6
BA    2   CR         2   TR  2   CH 11   NT  C-            5/6
BA    2   CR         3   TR  2   CH 11   NT  E-          47/96
BA    2   CR     3+1/2   TR  1   CH 10   NT  F#--          1/6
BA    2   CR     3+1/2   TR  2   CH 11   NT  G--         47/96

BA    3   CR         0   TR  2   CH 11   NT  A--         47/96
BA    3   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA    3   CR       1/2   TR  2   CH 11   NT  B--         47/96
BA    3   CR         1   TR  1   CH 10   NT  F#--          1/6
BA    3   CR         1   TR  2   CH 11   NT  C-            5/6

BA    4   CR         0   TR  1   CH 10   NT  F#--          1/6
BA    4   CR         0   TR  2   CH 11   NT  C-            5/6
BA    4   CR         1   TR  2   CH 11   NT  E-          47/96
BA    4   CR     1+1/2   TR  1   CH 10   NT  F#--          1/6
BA    4   CR     1+1/2   TR  2   CH 11   NT  G--         47/96
BA    4   CR         2   TR  2   CH 11   NT  A--         47/96
BA    4   CR     2+1/2   TR  1   CH 10   NT  F#--          1/6
BA    4   CR     2+1/2   TR  2   CH 11   NT  B--         47/96
BA    4   CR         3   TR  1   CH 10   NT  F#--          1/6
BA    4   CR         3   TR  2   CH 11   NT  C-            5/6

BA    5   CR         0   TR  1   CH 10   NT  Bb--          1/6
BA    5   CR         0   TR  2   CH 11   NT  G-          47/96
BA    5   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA    5   CR       1/2   TR  2   CH 11   NT  E-            5/6
BA    5   CR         2   TR  1   CH 10   NT  F#--          1/6
BA    5   CR         2   TR  2   CH 11   NT  C-            5/6
BA    5   CR         3   TR  2   CH 11   NT  E-          47/96
BA    5   CR     3+1/2   TR  1   CH 10   NT  F#--          1/6
BA    5   CR     3+1/2   TR  2   CH 11   NT  G--         47/96

BA    6   CR         0   TR  2   CH 11   NT  A--         47/96
BA    6   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA    6   CR       1/2   TR  2   CH 11   NT  B--         47/96
BA    6   CR         1   TR  1   CH 10   NT  F#--          1/6
BA    6   CR         1   TR  2   CH 11   NT  C-            5/6

BA    7   CR         0   TR  1   CH 10   NT  F#--          1/6
BA    7   CR         0   TR  2   CH 11   NT  C-            5/6
BA    7   CR         1   TR  2   CH 11   NT  E-          47/96
BA    7   CR     1+1/2   TR  1   CH 10   NT  F#--          1/6
BA    7   CR     1+1/2   TR  2   CH 11   NT  G--         47/96
BA    7   CR         2   TR  2   CH 11   NT  A--         47/96
BA    7   CR     2+1/2   TR  1   CH 10   NT  F#--          1/6
BA    7   CR     2+1/2   TR  2   CH 11   NT  B--         47/96
BA    7   CR         3   TR  1   CH 10   NT  F#--          1/6
BA    7   CR         3   TR  2   CH 11   NT  C-            5/6

BA    8   CR         0   TR  1   CH 10   NT  Bb--          1/6
BA    8   CR         0   TR  2   CH 11   NT  G-          47/96
BA    8   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA    8   CR       1/2   TR  2   CH 11   NT  E-            5/6
BA    8   CR         2   TR  1   CH 10   NT  F#--          1/6
BA    8   CR         2   TR  2   CH 11   NT  C-            5/6
BA    8   CR         3   TR  2   CH 11   NT  E-          47/96
BA    8   CR     3+1/2   TR  1   CH 10   NT  F#--          1/6
BA    8   CR     3+1/2   TR  2   CH 11   NT  G--         47/96

BA    9   CR         0   TR  2   CH 11   NT  A--         47/96
BA    9   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA    9   CR       1/2   TR  2   CH 11   NT  B--         47/96
BA    9   CR         1   TR  1   CH 10   NT  F#--          1/6
BA    9   CR         1   TR  2   CH 11   NT  C-            5/6

BA   10   CR         0   TR  1   CH 10   NT  F#--          1/6
BA   10   CR         0   TR  2   CH 11   NT  C-            5/6
BA   10   CR         1   TR  2   CH 11   NT  E-          47/96
BA   10   CR     1+1/2   TR  1   CH 10   NT  F#--          1/6
BA   10   CR     1+1/2   TR  2   CH 11   NT  G--         47/96
BA   10   CR         2   TR  2   CH 11   NT  A--         47/96
BA   10   CR     2+1/2   TR  1   CH 10   NT  F#--          1/6
BA   10   CR     2+1/2   TR  2   CH 11   NT  B--         47/96
BA   10   CR         3   TR  1   CH 10   NT  F#--          1/6
BA   10   CR         3   TR  2   CH 11   NT  C-            5/6

BA   11   CR         0   TR  1   CH 10   NT  Bb--          1/6
BA   11   CR         0   TR  2   CH 11   NT  G-          47/96
BA   11   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA   11   CR       1/2   TR  2   CH 11   NT  E-            5/6
BA   11   CR         2   TR  1   CH 10   NT  F#--          1/6
BA   11   CR         2   TR  2   CH 11   NT  C-            5/6
BA   11   CR         3   TR  2   CH 11   NT  E-          47/96
BA   11   CR     3+1/2   TR  1   CH 10   NT  F#--          1/6
BA   11   CR     3+1/2   TR  2   CH 11   NT  G--         47/96

BA   12   CR         0   TR  2   CH 11   NT  A--         47/96
BA   12   CR       1/2   TR  1   CH 10   NT  F#--          1/6
BA   12   CR       1/2   TR  2   CH 11   NT  B--         47/96
BA   12   CR         1   TR  1   CH 10   NT  F#--          1/6
BA   12   CR         1   TR  2   CH 11   NT  C-            5/6
BA   12   CR     1+1/6   TR  1   CH 16   End of track
BA   12   CR     1+5/6   TR  2   CH 16   End of track
# Successfully parsed
# Duration = 17.7419 seconds
