format=1 tracks=8 division=96

BA    1   CR         0   TR  0   CH 16   Tempo 150
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 81
BA    1   CR         0   TR  2   CH  2   NT  G#---       19/96   von=100
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI out #3"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 86
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 86
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 86
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 86
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 40
BA    1   CR         0   TR  3   CH  3   NT  C'''        11/96   von=100
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI out #6"
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 116
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 116
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   Instrument 68
BA    1   CR         0   TR  4   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 116
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   Instrument 68
BA    1   CR         0   TR  4   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  4   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  4   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  4   CH  6   Channel volume 116
BA    1   CR         0   TR  4   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  4   CH  6   Instrument 68
BA    1   CR         0   TR  5   CH 16   Text type 3: "MIDI out #7"
BA    1   CR         0   TR  5   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  5   CH  8   Channel volume 50
BA    1   CR         0   TR  5   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  5   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  5   CH  8   Channel volume 50
BA    1   CR         0   TR  5   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  5   CH  8   Instrument 82
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  5   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  5   CH  8   Channel volume 50
BA    1   CR         0   TR  5   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  5   CH  8   Instrument 82
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  5   CH  8   ST &B7 &0A &40
BA    1   CR         0   TR  5   CH  8   Channel volume 50
BA    1   CR         0   TR  5   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  5   CH  8   Instrument 82
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 105
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 105
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   Instrument 82
BA    1   CR         0   TR  6   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 105
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   Instrument 82
BA    1   CR         0   TR  6   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  6   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  6   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  6   CH  7   Channel volume 105
BA    1   CR         0   TR  6   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  6   CH  7   Instrument 82
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 100
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   NT  F#--        23/96   von=100
BA    1   CR         0   TR  7   CH 10   NT  B---        23/96
BA    1   CR       1/4   TR  7   CH 10   NT  F#--        23/96
BA    1   CR       1/2   TR  3   CH  3   NT  C'''        11/96
BA    1   CR       1/2   TR  7   CH 10   NT  F#--        23/96
BA    1   CR       3/4   TR  1   CH  1   NT  G#'         11/96
BA    1   CR       3/4   TR  2   CH  2   NT  Eb---       19/96
BA    1   CR       3/4   TR  7   CH 10   NT  F#--        23/96
BA    1   CR       3/4   TR  7   CH 10   NT  B---        23/96
BA    1   CR         1   TR  2   CH  2   NT  G#---       19/96
BA    1   CR         1   TR  3   CH  3   NT  F''         11/96
BA    1   CR         1   TR  7   CH 10   NT  F#--        23/96
BA    1   CR         1   TR  7   CH 10   NT  E--         23/96
BA    1   CR         1   TR  7   CH 10   NT  B---        23/96
BA    1   CR     1+1/2   TR  1   CH  1   NT  G#'         11/96
BA    1   CR     1+1/2   TR  3   CH  3   NT  F''         11/96
BA    1   CR     1+1/2   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     1+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    1   CR     1+3/4   TR  3   CH  3   NT  C'''        11/96
BA    1   CR     1+3/4   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     1+3/4   TR  7   CH 10   NT  B---        23/96
BA    1   CR         2   TR  2   CH  2   NT  G#---       19/96
BA    1   CR         2   TR  7   CH 10   NT  F#--        23/96
BA    1   CR         2   TR  7   CH 10   NT  B---        23/96
BA    1   CR     2+1/4   TR  3   CH  3   NT  C'''        11/96
BA    1   CR     2+1/4   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     2+1/2   TR  1   CH  1   NT  G#'         11/96
BA    1   CR     2+1/2   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     2+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    1   CR     2+3/4   TR  3   CH  3   NT  F''         11/96
BA    1   CR     2+3/4   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     2+3/4   TR  7   CH 10   NT  B---        23/96
BA    1   CR         3   TR  2   CH  2   NT  G#---       19/96
BA    1   CR         3   TR  3   CH  3   NT  F''         11/96
BA    1   CR         3   TR  7   CH 10   NT  F#--        23/96
BA    1   CR         3   TR  7   CH 10   NT  B---        23/96
BA    1   CR         3   TR  7   CH 10   NT  E--         23/96
BA    1   CR     3+1/2   TR  3   CH  3   NT  F''         11/96
BA    1   CR     3+1/2   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     3+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    1   CR     3+3/4   TR  7   CH 10   NT  F#--        23/96
BA    1   CR     3+3/4   TR  7   CH 10   NT  B---        23/96

BA    2   CR         0   TR  1   CH  1   NT  G#'         11/96
BA    2   CR         0   TR  2   CH  2   NT  G#---       19/96
BA    2   CR         0   TR  3   CH  3   NT  C'''        11/96
BA    2   CR         0   TR  7   CH 10   NT  F#--        23/96
BA    2   CR         0   TR  7   CH 10   NT  B---        23/96
BA    2   CR       1/4   TR  7   CH 10   NT  F#--        23/96
BA    2   CR       1/2   TR  3   CH  3   NT  C'''        11/96
BA    2   CR       1/2   TR  7   CH 10   NT  F#--        23/96
BA    2   CR       3/4   TR  1   CH  1   NT  G#'         11/96
BA    2   CR       3/4   TR  2   CH  2   NT  Eb---       19/96
BA    2   CR       3/4   TR  7   CH 10   NT  F#--        23/96
BA    2   CR       3/4   TR  7   CH 10   NT  B---        23/96
BA    2   CR         1   TR  2   CH  2   NT  G#---       19/96
BA    2   CR         1   TR  3   CH  3   NT  F''         11/96
BA    2   CR         1   TR  7   CH 10   NT  F#--        23/96
BA    2   CR         1   TR  7   CH 10   NT  B---        23/96
BA    2   CR         1   TR  7   CH 10   NT  E--         23/96
BA    2   CR     1+1/2   TR  1   CH  1   NT  G#'         11/96
BA    2   CR     1+1/2   TR  3   CH  3   NT  F''         11/96
BA    2   CR     1+1/2   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     1+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    2   CR     1+3/4   TR  3   CH  3   NT  C'''        11/96
BA    2   CR     1+3/4   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     1+3/4   TR  7   CH 10   NT  B---        23/96
BA    2   CR         2   TR  2   CH  2   NT  G#---       19/96
BA    2   CR         2   TR  7   CH 10   NT  F#--        23/96
BA    2   CR         2   TR  7   CH 10   NT  B---        23/96
BA    2   CR     2+1/4   TR  3   CH  3   NT  C'''        11/96
BA    2   CR     2+1/4   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     2+1/2   TR  1   CH  1   NT  G#'         11/96
BA    2   CR     2+1/2   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     2+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    2   CR     2+3/4   TR  3   CH  3   NT  F''         11/96
BA    2   CR     2+3/4   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     2+3/4   TR  7   CH 10   NT  B---        23/96
BA    2   CR         3   TR  2   CH  2   NT  G#---       19/96
BA    2   CR         3   TR  3   CH  3   NT  F''         11/96
BA    2   CR         3   TR  7   CH 10   NT  F#--        23/96
BA    2   CR         3   TR  7   CH 10   NT  B---        23/96
BA    2   CR         3   TR  7   CH 10   NT  E--         23/96
BA    2   CR     3+1/2   TR  3   CH  3   NT  F''         11/96
BA    2   CR     3+1/2   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     3+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    2   CR     3+3/4   TR  7   CH 10   NT  F#--        23/96
BA    2   CR     3+3/4   TR  7   CH 10   NT  B---        23/96

BA    3   CR         0   TR  1   CH  1   NT  G#'         11/96
BA    3   CR         0   TR  2   CH  2   NT  G#---       19/96
BA    3   CR         0   TR  3   CH  3   NT  C'''        11/96
BA    3   CR         0   TR  7   CH 10   NT  F#--        23/96
BA    3   CR         0   TR  7   CH 10   NT  B---        23/96
BA    3   CR       1/4   TR  7   CH 10   NT  F#--        23/96
BA    3   CR       1/2   TR  3   CH  3   NT  C'''        11/96
BA    3   CR       1/2   TR  7   CH 10   NT  F#--        23/96
BA    3   CR       3/4   TR  1   CH  1   NT  G#'         11/96
BA    3   CR       3/4   TR  2   CH  2   NT  Eb---       19/96
BA    3   CR       3/4   TR  7   CH 10   NT  F#--        23/96
BA    3   CR       3/4   TR  7   CH 10   NT  B---        23/96
BA    3   CR         1   TR  2   CH  2   NT  G#---       19/96
BA    3   CR         1   TR  3   CH  3   NT  F''         11/96
BA    3   CR         1   TR  7   CH 10   NT  F#--        23/96
BA    3   CR         1   TR  7   CH 10   NT  B---        23/96
BA    3   CR         1   TR  7   CH 10   NT  E--         23/96
BA    3   CR     1+1/2   TR  1   CH  1   NT  G#'         11/96
BA    3   CR     1+1/2   TR  3   CH  3   NT  F''         11/96
BA    3   CR     1+1/2   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     1+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    3   CR     1+3/4   TR  3   CH  3   NT  C'''        11/96
BA    3   CR     1+3/4   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     1+3/4   TR  7   CH 10   NT  B---        23/96
BA    3   CR         2   TR  2   CH  2   NT  G#---       19/96
BA    3   CR         2   TR  7   CH 10   NT  F#--        23/96
BA    3   CR         2   TR  7   CH 10   NT  B---        23/96
BA    3   CR     2+1/4   TR  3   CH  3   NT  C'''        11/96
BA    3   CR     2+1/4   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     2+1/2   TR  1   CH  1   NT  G#'         11/96
BA    3   CR     2+1/2   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     2+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    3   CR     2+3/4   TR  3   CH  3   NT  F''         11/96
BA    3   CR     2+3/4   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     2+3/4   TR  7   CH 10   NT  B---        23/96
BA    3   CR         3   TR  2   CH  2   NT  G#---       19/96
BA    3   CR         3   TR  3   CH  3   NT  F''         11/96
BA    3   CR         3   TR  7   CH 10   NT  F#--        23/96
BA    3   CR         3   TR  7   CH 10   NT  B---        23/96
BA    3   CR         3   TR  7   CH 10   NT  E--         23/96
BA    3   CR     3+1/2   TR  3   CH  3   NT  F''         11/96
BA    3   CR     3+1/2   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     3+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    3   CR     3+3/4   TR  7   CH 10   NT  F#--        23/96
BA    3   CR     3+3/4   TR  7   CH 10   NT  B---        23/96

BA    4   CR         0   TR  1   CH  1   NT  G#'         11/96
BA    4   CR         0   TR  2   CH  2   NT  G#---       19/96
BA    4   CR         0   TR  3   CH  3   NT  C'''        11/96
BA    4   CR         0   TR  7   CH 10   NT  F#--        23/96
BA    4   CR         0   TR  7   CH 10   NT  B---        23/96
BA    4   CR       1/4   TR  7   CH 10   NT  F#--        23/96
BA    4   CR       1/2   TR  3   CH  3   NT  C'''        11/96
BA    4   CR       1/2   TR  7   CH 10   NT  F#--        23/96
BA    4   CR       3/4   TR  1   CH  1   NT  G#'         11/96
BA    4   CR       3/4   TR  2   CH  2   NT  Eb---       19/96
BA    4   CR       3/4   TR  7   CH 10   NT  F#--        23/96
BA    4   CR       3/4   TR  7   CH 10   NT  B---        23/96
BA    4   CR         1   TR  2   CH  2   NT  G#---       19/96
BA    4   CR         1   TR  3   CH  3   NT  F''         11/96
BA    4   CR         1   TR  7   CH 10   NT  F#--        23/96
BA    4   CR         1   TR  7   CH 10   NT  B---        23/96
BA    4   CR         1   TR  7   CH 10   NT  E--         23/96
BA    4   CR     1+1/2   TR  1   CH  1   NT  G#'         11/96
BA    4   CR     1+1/2   TR  3   CH  3   NT  F''         11/96
BA    4   CR     1+1/2   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     1+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    4   CR     1+3/4   TR  3   CH  3   NT  C'''        11/96
BA    4   CR     1+3/4   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     1+3/4   TR  7   CH 10   NT  B---        23/96
BA    4   CR         2   TR  2   CH  2   NT  G#---       19/96
BA    4   CR         2   TR  7   CH 10   NT  F#--        23/96
BA    4   CR         2   TR  7   CH 10   NT  B---        23/96
BA    4   CR     2+1/4   TR  3   CH  3   NT  C'''        11/96
BA    4   CR     2+1/4   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     2+1/2   TR  1   CH  1   NT  G#'         11/96
BA    4   CR     2+1/2   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     2+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    4   CR     2+3/4   TR  3   CH  3   NT  F''         11/96
BA    4   CR     2+3/4   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     2+3/4   TR  7   CH 10   NT  B---        23/96
BA    4   CR         3   TR  2   CH  2   NT  G#---       19/96
BA    4   CR         3   TR  3   CH  3   NT  F''         11/96
BA    4   CR         3   TR  7   CH 10   NT  F#--        23/96
BA    4   CR         3   TR  7   CH 10   NT  B---        23/96
BA    4   CR         3   TR  7   CH 10   NT  E--         23/96
BA    4   CR     3+1/2   TR  3   CH  3   NT  F''         11/96
BA    4   CR     3+1/2   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     3+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    4   CR     3+3/4   TR  7   CH 10   NT  F#--        23/96
BA    4   CR     3+3/4   TR  7   CH 10   NT  B---        23/96

BA    5   CR         0   TR  1   CH  1   NT  G#'         11/96
BA    5   CR         0   TR  2   CH  2   NT  G#---       19/96
BA    5   CR         0   TR  3   CH  3   NT  C'''        11/96   von=127
BA    5   CR         0   TR  7   CH 10   NT  F#--        23/96
BA    5   CR         0   TR  7   CH 10   NT  B---        23/96
BA    5   CR       1/4   TR  7   CH 10   NT  F#--        23/96
BA    5   CR       1/2   TR  3   CH  3   NT  C'''        11/96
BA    5   CR       1/2   TR  7   CH 10   NT  F#--        23/96
BA    5   CR       3/4   TR  1   CH  1   NT  G#'         11/96
BA    5   CR       3/4   TR  2   CH  2   NT  Eb---       19/96
BA    5   CR       3/4   TR  3   CH  3   NT  F''         11/96
BA    5   CR       3/4   TR  7   CH 10   NT  F#--        23/96
BA    5   CR       3/4   TR  7   CH 10   NT  B---        23/96
BA    5   CR         1   TR  2   CH  2   NT  G#---       19/96
BA    5   CR         1   TR  7   CH 10   NT  F#--        23/96
BA    5   CR         1   TR  7   CH 10   NT  B---        23/96
BA    5   CR         1   TR  7   CH 10   NT  E--         23/96
BA    5   CR     1+1/4   TR  3   CH  3   NT  F''         11/96
BA    5   CR     1+1/2   TR  1   CH  1   NT  G#'         11/96
BA    5   CR     1+1/2   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     1+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    5   CR     1+3/4   TR  3   CH  3   NT  C#'''       11/96
BA    5   CR     1+3/4   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     1+3/4   TR  7   CH 10   NT  B---        23/96
BA    5   CR         2   TR  2   CH  2   NT  G#---       19/96
BA    5   CR         2   TR  7   CH 10   NT  F#--        23/96
BA    5   CR         2   TR  7   CH 10   NT  B---        23/96
BA    5   CR     2+1/4   TR  3   CH  3   NT  C#'''       11/96
BA    5   CR     2+1/4   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     2+1/2   TR  1   CH  1   NT  G#'         11/96
BA    5   CR     2+1/2   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     2+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    5   CR     2+3/4   TR  3   CH  3   NT  F#''        11/96
BA    5   CR     2+3/4   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     2+3/4   TR  7   CH 10   NT  B---        23/96
BA    5   CR         3   TR  2   CH  2   NT  G#---       19/96
BA    5   CR         3   TR  3   CH  3   NT  F#''        11/96
BA    5   CR         3   TR  7   CH 10   NT  F#--        23/96
BA    5   CR         3   TR  7   CH 10   NT  B---        23/96
BA    5   CR         3   TR  7   CH 10   NT  E--         23/96
BA    5   CR     3+1/2   TR  3   CH  3   NT  F#''        11/96
BA    5   CR     3+1/2   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     3+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    5   CR     3+3/4   TR  7   CH 10   NT  F#--        23/96
BA    5   CR     3+3/4   TR  7   CH 10   NT  B---        23/96

BA    6   CR         0   TR  1   CH  1   NT  G#'         11/96
BA    6   CR         0   TR  2   CH  2   NT  G#---       19/96
BA    6   CR         0   TR  3   CH  3   NT  D'''        11/96
BA    6   CR         0   TR  7   CH 10   NT  F#--        23/96
BA    6   CR         0   TR  7   CH 10   NT  B---        23/96
BA    6   CR       1/4   TR  7   CH 10   NT  F#--        23/96
BA    6   CR       1/2   TR  3   CH  3   NT  D'''        11/96
BA    6   CR       1/2   TR  7   CH 10   NT  F#--        23/96
BA    6   CR       3/4   TR  1   CH  1   NT  G#'         11/96
BA    6   CR       3/4   TR  2   CH  2   NT  Eb---       19/96
BA    6   CR       3/4   TR  3   CH  3   NT  G''         11/96
BA    6   CR       3/4   TR  7   CH 10   NT  F#--        23/96
BA    6   CR       3/4   TR  7   CH 10   NT  B---        23/96
BA    6   CR         1   TR  2   CH  2   NT  G#---       19/96
BA    6   CR         1   TR  7   CH 10   NT  F#--        23/96
BA    6   CR         1   TR  7   CH 10   NT  B---        23/96
BA    6   CR         1   TR  7   CH 10   NT  E--         23/96
BA    6   CR     1+1/4   TR  3   CH  3   NT  G''         11/96
BA    6   CR     1+1/2   TR  1   CH  1   NT  G#'         11/96
BA    6   CR     1+1/2   TR  7   CH 10   NT  F#--        23/96
BA    6   CR     1+3/4   TR  2   CH  2   NT  Eb---       19/96
BA    6   CR     1+3/4   TR  3   CH  3   NT  Eb'''       11/96
BA    6   CR     1+3/4   TR  7   CH 10   NT  F#--        23/96
BA    6   CR     1+3/4   TR  7   CH 10   NT  B---        23/96
BA    6   CR         2   TR  2   CH  2   NT  G#---       19/96
BA    6   CR         2   TR  7   CH 10   NT  F#--        23/96
BA    6   CR         2   TR  7   CH 10   NT  B---        23/96
BA    6   CR     2+1/4   TR  3   CH  3   NT  Eb'''       11/96
BA    6   CR     2+1/4   TR  7   CH 10   NT  F#--        23/96
BA    6   CR     2+1/2   TR  1   CH  1   NT  G#'         11/96
BA    6   CR     2+1/2   TR  7   CH 10   NT  F#--        23/96
BA    6   CR     2+3/4   TR  2   CH  2   NT  Eb---       19/96
